SMILES,ATSC0c,ATSC0se,AATS0i,ATSC1p,AATSC2se,AATSC0m,AATSC1Z,AATSC2are,AATSC1pe,SpDiam_A,ATSC1c,ATSC1se,ATSC1Z,ATSC1m,ATSC4s
CCO,0.21303866453856574,0.9667315555555552,172.0606566808882,-0.37905875450078974,-0.01417666856600189,34.97507261728395,-1.682098765432099,-0.022867996201329514,-0.02623996913580236,2.82842712474619,-0.09961946882998138,-0.13822093827160475,-13.456790123456791,-63.896508938271566,1.5648148148148153
CCN,0.14567411717355844,0.32702599999999976,175.92523391597427,-0.2983360241760098,-0.003968999999999994,28.857101649999997,-1.6400000000000001,-0.010088999999999985,-0.02103733333333332,2.82842712474619,-0.07899669839370455,-0.08550499999999965,-14.760000000000002,-70.26150225000005,1.2149999999999999
c1ccccc1,0.04652849888693349,0.0711479999999999,155.85600405712452,-8.881784197001252e-16,-0.0019763333333333312,30.26650224999999,0.0,-0.007499999999999948,7.777343583962686e-17,3.999999999999999,4.336808689942018e-19,0.0,0.0,8.171241461241152e-14,0.0
CN(C(=O)C(C)(c1ccccc1)c1ccccc1)C1CCCCC1,0.36550611884386774,1.5115548235294112,160.3714468087691,-0.01196280246910933,0.003931527970011467,31.904931620146098,0.35046027289939313,0.005859686178392966,0.003870705751779015,4.997051097679602,-0.1533097571788705,0.05526435986158672,18.574394463667836,87.94307852441356,-4.289351851851857
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](C)N)[C@@H](C)CC)C(=O)N[C@@H](CC(N)=O)C(=O)O,3.4328669577558135,11.637237876106191,170.55317494987338,0.18283517440706976,0.017673647287625188,37.99055887931709,-0.23533557835382568,0.02959563065573945,-0.01923152165400572,4.778097327343684,-2.4249899176207337,-1.6654496283185773,-26.5929203539823,-113.94172623008731,-117.78472167837035
