	0
VE3_A	-0.6691728075863657
AATS0i	172.0606566808882
ATS5pe	0.0
ATS6p	0.0
AATSC4se	0.0231716049382715
AATSC0are	0.1632098765432098
ATS1s	27.0
AATS4Z	1.0
AATS1Z	15.25
ATS6v	0.0
LogEE_A	1.8494570055365824
ATSC7s	0.0
ATSC4c	0.0159868716763371
AATS0Z	15.77777777777778
AATS0se	7.6381702222222225
ATSC5are	0.0
ATSC2c	-0.0159935508112568
ATSC2are	-0.2972839506172837
ATSC0p	1.5215138905868886
ATS1Z	122.0
ATS0are	53.790000000000006
AATS1se	7.829216
AATS0p	0.9876312698993336
ATS2pe	76.92800000000003
ATS0m	550.592627
ATS0v	1249.927047048598
ATSC5Z	0.0
ATSC6i	0.0
AATSC0m	34.97507261728395
ATSC5dv	0.0
ATS4Z	3.0
ATSC8p	0.0
nBridgehead	0.0
AATSC3se	-0.0191969135802469
ATS8m	0.0
VR1_A	3.363585661014859
nSpiro	0.0
AATS3i	182.33471616627853
AATS2m	23.16344284615384
nHetero	1.0
ATSC0Z	66.88888888888889
ATS0s	48.25
AATS2Z	8.0
ATSC0m	314.77565355555555
AATS1i	153.8668374707063
ATSC3are	-0.351851851851852
ATSC1c	-0.0996194688299813
AATS2dv	0.3846153846153846
nBase	0.0
nX	0.0
ATSC8v	0.0
ATS7pe	0.0
ATSC6c	0.0
ATS5se	0.0
ATSC8pe	0.0
AATS1pe	6.3615625
ATSC3d	0.1481481481481482
AATS2pe	5.917538461538464
ATS4pe	14.520000000000003
AATSC3m	-2.2769141358024703
ATSC0v	363.45665236232026
ATS7s	0.0
ATSC4Z	10.703703703703702
ATSC7pe	0.0
nO	1.0
ATS5are	0.0
AATS2d	1.3076923076923077
AATS3are	5.61
AATSC4dv	0.7901234567901234
